evidence_id,instance_id,content_id,original_path,relative_path,parent_instance_id,parent_content_id,parent_screenshot_path,source_bbox,proposal_source,template_name,candidate_visual_family,candidate_visual_attribute,label_status,close_x_negative_type,evidence_role,label_confidence,legacy_sample_role,legacy_sub_role,legacy_screen_state,asset_role,image_scope,representation,notes
evi_000001,file_b040dd17ca19329c,asset_1bb199c29d32b6fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,,,,,,,,google_play_style,unknown,family_unknown,heuristic,0.45,reference_only,,uncertain,template,crop,edge_glyph,Visual attribute only; not formal family label
evi_000002,file_670c62c5320205f4,asset_d37ef6afc1bb29cb,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_edge.png,,,,,,,,continue_next_style|skip_arrow_or_double_chevron,unknown,family_unknown,heuristic,0.45,reference_only,,uncertain,template,crop,edge_glyph,Visual attribute only; not formal family label
evi_000003,file_bb614e957ab55bfb,asset_d6d7c33a252f2dc5,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,,,,,,,,continue_next_style|skip_arrow_or_double_chevron,unknown,family_unknown,heuristic,0.45,reference_only,,uncertain,template,crop,edge_glyph,Visual attribute only; not formal family label
evi_000004,file_245ef374f6c4268c,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000005,file_c1b82b89ebab2308,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000006,file_0796700f3e89b234,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000007,file_ed7ecf2d8c86d633,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000008,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000009,file_ff68673e47bf2194,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000010,file_0c54c714e6e4e54c,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
