instance_id,content_id,relative_path,review_status,current_db_families,true_families,suggestion_family,reason,seed_predictions,score_summary,image_path,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
file_5cb4b7066873df3f,asset_7dd2912db6461d61,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_001_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.85720,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_001_bbox.png,,,,,,,
file_e159069bc60055ad,asset_1f152f5501c6fe9b,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_002_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.72484,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_002_bbox.png,,,,,,,
file_af33409809dd3428,asset_dfcc6fe98c4011f7,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_003_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.61093,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_003_bbox.png,,,,,,,
file_cb9be0ef12f0f64b,asset_01c6947e29c81fd2,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_004_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.78274,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_004_bbox.png,,,,,,,
file_39861b2aa1a9e17c,asset_ac180cb4827bee4a,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_005_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.28835,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_005_bbox.png,,,,,,,
file_2776b9fbf0c63c89,asset_64867e4f8292f469,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_006_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.08784,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_006_bbox.png,,,,,,,
file_55bb3584d97807f9,asset_eb97ceb55f4e3a71,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_007_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.29927,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_007_bbox.png,,,,,,,
file_112b5abe67e3cc0f,asset_88bc719ba426bdc6,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_008_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.84323,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_008_bbox.png,,,,,,,
file_cc3f8cea13fd325a,asset_b70dd35d3ff8880c,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_009_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.61283,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_009_bbox.png,,,,,,,
file_1e932f7b9b49ad39,asset_cff2d061898fa1b2,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_010_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.45562,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_010_bbox.png,,,,,,,
file_a163ba495a0fa0b9,asset_cb5024712c95a9d0,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_011_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.66490,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_011_bbox.png,,,,,,,
file_2ac5cefc79d445ab,asset_d0037435e0388512,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_012_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.26201,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_012_bbox.png,,,,,,,
file_68ca6b6319c215b4,asset_4842d194283aab15,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_013_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.29597,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_013_bbox.png,,,,,,,
file_e99ec0ee0c7730ff,asset_fe3886169f08488f,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_014_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.87691,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_014_bbox.png,,,,,,,
file_320d308488e3711c,asset_4a0e872bb1dd2aec,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_015_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.66274,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_015_bbox.png,,,,,,,
file_d0490a5af43affcc,asset_164074a31b9b9943,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_016_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.76220,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_016_bbox.png,,,,,,,
file_41cfbd217f96f572,asset_5bbd18c0ab88ac19,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_017_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.56484,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_017_bbox.png,,,,,,,
file_510bde59528a06e8,asset_2c92c20775acda6b,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_018_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.86379,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_018_bbox.png,,,,,,,
file_b1a43845dd580dbb,asset_866a28d1c5357282,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_019_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.73538,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_019_bbox.png,,,,,,,
file_11e19fd0b27654b9,asset_486faf47db84a8fd,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_001_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.14112,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_001_bbox.png,,,,,,,
file_ef7a40d07f5c3bf0,asset_af3e23533898db55,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_002_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.10346,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_002_bbox.png,,,,,,,
file_2edd06cca6ebb09f,asset_48a4509e9b1c3618,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_003_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.04015,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_003_bbox.png,,,,,,,
file_7c62809ed21b0e9f,asset_a49e1ac7301ca334,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_004_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.42177,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_004_bbox.png,,,,,,,
file_b1eb2157d4731f90,asset_8db1fa48142c43a5,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_005_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.42899,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_005_bbox.png,,,,,,,
file_19f1d60b57c8932a,asset_aa95ccbd3e3c7d94,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_006_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.25317,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_006_bbox.png,,,,,,,
file_983283004265ed52,asset_a4cfd7dd128cf5f6,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_007_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.46907,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_007_bbox.png,,,,,,,
file_d2a5bd4ad824db36,asset_565c6f322b64bbca,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_008_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.87336,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_008_bbox.png,,,,,,,
file_2dae61b001ae1705,asset_b663eaec3b0a7db6,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_009_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.26706,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0027_009_bbox.png,,,,,,,
file_c50d452993e6bf4e,asset_74fc6e135bb3606a,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_001_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.50779,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_001_bbox.png,,,,,,,
file_e2063c9bc70236df,asset_3e898249c55c1121,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_002_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.49118,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_002_bbox.png,,,,,,,
file_73fe82ea402ad997,asset_89c9eaf0e86764d3,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_003_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.77226,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_003_bbox.png,,,,,,,
file_251b9fba035f8220,asset_8153bfa737746b7a,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_004_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.50841,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_004_bbox.png,,,,,,,
file_8e47bda5c0a61d18,asset_ae4ef7535067a480,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_005_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.42600,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_005_bbox.png,,,,,,,
file_d1d1a14a230e10e4,asset_c0a2597efbcc86af,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_006_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.57580,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_006_bbox.png,,,,,,,
file_1a683ac8aed8156b,asset_1c15db447481be43,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_007_bbox.png,pending,,,arrow,latest_collection_pending,,top:arrow 0.72292,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0028_007_bbox.png,,,,,,,
file_fbe9b62828150c24,asset_8a405ab7fdc540ad,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_001_bbox.png,pending,,,next,latest_collection_pending,,top:next 0.72335,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_001_bbox.png,,,,,,,
file_65decf57e703516c,asset_1f3a5fcab8a7e85b,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_002_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.57970,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_002_bbox.png,,,,,,,
file_f67ef98e56f9abca,asset_46ef8502e460c053,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_003_bbox.png,pending,,,got,latest_collection_pending,,top:got 0.51792,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_003_bbox.png,,,,,,,
file_a513315be593a71c,asset_65b382a725a1cdf5,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_004_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.75629,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_004_bbox.png,,,,,,,
file_ae1a04d4d1f05738,asset_3353a5949315d808,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_005_bbox.png,pending,,,x_mark,latest_collection_pending,,top:x_mark 0.55932,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_005_bbox.png,,,,,,,
file_a4137e528542241b,asset_20e61e716c8f3ec5,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_006_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.20408,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_006_bbox.png,,,,,,,
file_6346f8a367458b22,asset_a4d43b19a8a4c204,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_007_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.12749,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_007_bbox.png,,,,,,,
file_cee4c5f84c0525ff,asset_cd871e304f161f5d,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_008_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.13898,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_008_bbox.png,,,,,,,
file_31e7742215d48e9d,asset_c930a5a45207a7d2,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_009_bbox.png,pending,,,negative,latest_collection_pending,,top:negative 0.27177,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_009_bbox.png,,,,,,,
