instance_id,content_id,relative_path,review_status,current_db_families,true_families,suggestion_family,reason,seed_predictions,score_summary,image_path,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
file_28db17c1fdc6810f,asset_13fae01f38c68d9b,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102840_468\crops\bbox.png,reviewed,negative,negative,arrow,arrow_false_positive|none_false_activation|x_mark_false_positive,arrow|x_mark,arrow:0.79 x_mark:0.56 free:0.30 google_play:0.27,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_01282_negative_asset_13fae01f38c68d9b.png,0.56340,0.04300,0.26624,0.21799,0.29668,0.09280,0.78590
file_64149c417807c355,asset_96b6fd7cacc7a554,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_012_bbox.png,reviewed,negative,negative,arrow,arrow_false_positive|none_false_activation|seed_disagreement_hard_family,arrow / arrow|google_play,arrow:0.74 google_play:0.68 next:0.39 x_mark:0.26,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00300_negative_asset_96b6fd7cacc7a554.png,0.25772,0.01486,0.67592,0.39304,0.03361,0.06337,0.73549
file_3ce9f1cbf39de82c,asset_f9d16a7b48a0c437,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0025_002_bbox.png,reviewed,negative,negative,arrow,arrow_false_positive|none_false_activation|seed_disagreement_hard_family,arrow / negative,arrow:0.51 x_mark:0.13 next:0.06 google_play:0.06,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00246_negative_asset_f9d16a7b48a0c437.png,0.13078,0.00223,0.05657,0.05897,0.00925,0.05370,0.50556
file_b030e63c8e034663,asset_a7eb90b90ec44f28,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000409.png,reviewed,negative,negative,negative,arrow_false_positive|none_false_activation|seed_disagreement_hard_family,arrow / negative,arrow:0.49 got:0.02 next:0.01 google_play:0.01,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00947_negative_asset_a7eb90b90ec44f28.png,0.00064,0.00008,0.00720,0.01420,0.00005,0.02441,0.49307
file_da663e61e8b915bb,asset_a7eb90b90ec44f28,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000412.png,reviewed,negative,negative,negative,arrow_false_positive|none_false_activation|seed_disagreement_hard_family,arrow / negative,arrow:0.49 got:0.02 next:0.01 google_play:0.01,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00950_negative_asset_a7eb90b90ec44f28.png,0.00064,0.00008,0.00720,0.01420,0.00005,0.02441,0.49307
file_3a3858f7caa3e03f,asset_881d5f55b1fd4cb8,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000419.png,reviewed,negative,negative,x_mark,none_false_activation|seed_disagreement_hard_family|x_mark_false_positive,negative / x_mark,x_mark:0.55 next:0.07 arrow:0.03 google_play:0.01,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00956_negative_asset_881d5f55b1fd4cb8.png,0.54812,0.00100,0.00600,0.06909,0.00326,0.00034,0.02958
file_59fd6a786fe4430c,asset_881d5f55b1fd4cb8,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000427.png,reviewed,negative,negative,x_mark,none_false_activation|seed_disagreement_hard_family|x_mark_false_positive,negative / x_mark,x_mark:0.55 next:0.07 arrow:0.03 google_play:0.01,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00962_negative_asset_881d5f55b1fd4cb8.png,0.54812,0.00100,0.00600,0.06909,0.00326,0.00034,0.02958
file_5933688326eda3b8,asset_362eee6a79fcaca7,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_012_bbox.png,reviewed,negative,negative,negative,none_false_activation|seed_disagreement_hard_family|x_mark_false_positive,negative / x_mark,x_mark:0.47 arrow:0.03 free:0.02 next:0.01,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00134_negative_asset_362eee6a79fcaca7.png,0.46721,0.00188,0.00310,0.01021,0.01863,0.00350,0.03296
file_cb9be0ef12f0f64b,asset_01c6947e29c81fd2,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_004_bbox.png,reviewed,negative,negative,arrow,arrow_false_positive|none_false_activation,arrow,arrow:0.92 x_mark:0.13 free:0.01 next:0.00,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00257_negative_asset_01c6947e29c81fd2.png,0.12508,0.00071,0.00051,0.00246,0.01216,0.00023,0.91536
file_4e01a63aba7ff17d,asset_f2f1fd1c7832b4d9,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0029_016_bbox.png,reviewed,negative,negative,arrow,arrow_false_positive|none_false_activation,arrow,arrow:0.80 next:0.17 google_play:0.13 x_mark:0.10,vision_platform\ads\pilot\visual_family_smoke_20260721\after_high_value_review\dataset\images\vf_00304_negative_asset_f2f1fd1c7832b4d9.png,0.09620,0.00524,0.13038,0.16734,0.00624,0.00220,0.79611
